,vmThresh,fricExp,mu_scale,stiff_scale,gamma0,melt_flux,Calving_Front_Position,Grounding_Line_Position,Mass_Change
2,120860.0362,0.10831651,0.940640118,0.994442366,289156.2263,53.59738943,-9.240804436,-11.96463949,-14.78174601
4,137520.2237,0.218554811,0.978270942,1.106154158,221252.6703,22.98142394,39.66503062,-4.560192843,17.03547952
6,165425.2722,0.201743242,0.879731623,1.064471819,368912.4366,50.18385818,72.16518928,-7.271066113,-9.642001334
8,115820.4362,0.283846169,0.923726515,1.091656375,430318.3803,34.07196085,2.226262912,-4.838106836,4.764633802
9,130397.1245,0.207832749,1.185354329,0.935929801,100436.9875,57.02679451,7.422211303,-18.86389601,6.548211654
10,87134.23286,0.132838538,0.822262808,1.125168777,174269.2586,38.33270041,-55.78604574,8.208130005,-14.13536755
11,158498.0307,0.242176284,1.087015722,0.894225337,240914.4921,15.04375217,49.71227489,-4.614893688,8.32786502
13,99992.09244,0.115438515,1.049445837,1.005937266,208112.8752,48.59501894,-53.26848841,-17.76663786,4.595827793
14,142660.5708,0.160812103,0.961296306,0.808067916,22420.23016,41.04080898,-13.19700409,-9.270086757,-21.29647441
16,163920.5354,0.321499974,0.969822629,0.939213846,144225.057,46.72649328,65.49010001,-9.226272113,-2.306825337
20,119447.6859,0.236468563,0.808856151,1.01901064,50950.09444,55.90457891,7.140024399,-1.213204053,-10.24658481
21,154333.8286,0.138509863,1.093980881,0.950762608,380662.7199,32.30970039,50.00074014,-13.06045809,7.082593236
22,97596.94302,0.209403477,0.907386351,1.16031437,306715.8237,16.92627024,-15.67099622,2.939577192,16.57538761
23,176770.1949,0.282240852,1.195635991,0.816892578,240014.5212,39.43490291,68.49323784,-11.71506526,-7.411984698
24,147210.9403,0.302447083,0.888392987,1.183508375,260013.9833,44.69859281,54.36958295,-5.890214925,9.00153661
25,126375.043,0.18923552,1.001741807,0.839283872,157182.9129,21.85344153,-62.39428582,-7.011482527,-9.101881498
26,169842.838,0.147110289,0.989859711,1.049617745,112074.453,28.82798163,72.71500852,-5.699225156,15.20020262
27,104719.8312,0.227908191,1.100083619,0.980609728,420244.3464,52.04636014,-59.06210404,-15.85427688,2.662354066
31,135227.8847,0.31411451,1.064117144,1.060384534,354916.4207,54.76655566,32.75248049,-13.85463076,8.337489642
32,175069.2222,0.316657469,0.945916244,1.131574741,59831.19231,51.46426898,74.70131758,-7.27337809,15.56219127
34,152876.9934,0.100025093,0.844447161,1.097695366,315850.3385,21.00830475,63.30127975,19.2289032,-10.88314029
35,117560.553,0.274987128,1.059357243,0.929395645,216687.1577,43.94773027,-36.77666835,-12.23470962,0.053982403
37,140934.1843,0.148250482,1.021731673,1.170807203,291813.8014,31.27160807,47.71473306,-7.585749072,21.04901554
39,162052.4805,0.298018894,1.120265758,1.012318834,93692.41259,35.44864443,64.41501695,-9.429085412,18.61289119
40,133799.2829,0.275615946,0.814642933,0.98808585,405423.0652,43.70491268,14.39410663,-4.022339261,-19.79293326
44,103272.1514,0.251366545,0.950551452,1.070980924,254476.9622,40.24627551,-24.41677586,-8.393257363,5.973553206
45,167946.5496,0.123614524,1.140365402,0.90192732,176912.7827,17.74033458,67.98676279,-10.06087463,13.51090708
46,124683.2255,0.168930259,0.852017462,1.112297814,106790.8505,32.92155539,27.51817635,4.812171524,3.454201614
47,145949.4207,0.322714933,1.038706309,0.868021242,440171.3639,56.55990099,8.387999623,-14.20349391,-16.99615993
49,166882.8659,0.16371464,1.030180752,0.987069956,303959.9072,39.1390326,71.61101463,-12.23456274,3.481610432
50,110146.3234,0.12158809,0.968452016,1.177127473,374421.3076,57.66010838,4.658186809,-12.97967915,4.490322548
51,139221.9608,0.253427595,1.12851571,0.845378653,40984.66001,34.78844187,-2.66199355,-9.516984893,1.995789372
52,151470.3405,0.242764611,0.906022619,0.923228153,74718.93504,18.96232468,41.12597341,4.543566008,4.033992891
56,129227.8975,0.295979333,0.998254716,0.886749369,341452.292,29.420497,-27.17311672,-7.858341802,-7.290997963
58,101859.3891,0.153515597,0.899919854,0.945644195,27929.1261,36.60298579,-72.3761538,-1.538915053,-5.094467933
60,159760.3147,0.261988857,0.837349253,1.154244891,421212.0224,27.03145638,65.54282377,2.910544692,4.690812293
62,132294.1713,0.183881707,0.935886355,1.01252536,165359.9969,45.7662906,22.90544171,-9.173891609,-2.290253474
63,117268.8744,0.3077598,1.174174139,0.956752818,264467.1552,22.14462618,-27.75305807,-7.5635105,14.7482597
64,145012.8565,0.305927196,0.987238935,1.000330397,362426.8514,25.38281079,38.76322611,-5.393398523,7.371534144
65,128769.8963,0.185751846,1.122424796,0.969338411,54334.32177,48.24413421,13.51313905,-14.95467042,12.89480187
66,173601.8527,0.11126986,0.885582966,1.166439768,215020.5416,41.32878538,73.58483657,-0.368258886,-1.471130416
69,160840.3976,0.151647383,1.061519352,1.089563564,133173.9991,57.08943428,63.37342833,-16.35833113,13.97920739
70,116603.8321,0.197419273,0.949613416,0.899554496,92007.77516,38.30181087,-53.29825734,-8.140390526,-7.411142254
72,166217.7282,0.28681732,0.856108329,0.869317082,15934.64408,23.38921284,59.65637544,6.41529108,-4.987037667
73,82344.72733,0.204865269,1.04125919,1.100065213,399912.1961,45.8548002,-75.40191318,-11.66074764,11.21312697
74,138312.393,0.130326777,0.954639293,0.910838059,329908.4159,50.89035142,3.967634628,-12.5711775,-20.18328823
77,150377.9519,0.119776834,1.180289636,0.833159276,248977.0606,37.80258705,12.41660556,-20.0219346,-6.667201522
80,111962.2518,0.324471017,0.800635874,1.124883122,298449.0854,35.98946321,2.77375406,-0.432063766,-0.295351284
81,134452.2139,0.167211461,1.090472429,0.855826565,231839.0851,13.14994901,-22.82265921,-6.730594333,2.638357905
82,89428.32427,0.125484559,0.902300964,1.058395524,42880.49357,31.76231745,-60.19688775,4.257522584,8.116738757
83,156010.083,0.249533823,1.189012607,0.914122101,372740.7403,54.9988865,44.72932328,-17.18250328,0.352964756
86,146419.5339,0.214197408,0.863267466,0.975671247,150570.0542,29.06351486,37.60627919,3.147489507,-3.93978034
87,124042.4988,0.277450371,1.028043076,1.044114595,278576.5251,51.88984162,11.02228659,-13.84092184,5.249643687
88,96814.78713,0.299945894,0.931774074,0.955505782,182661.0141,55.3316774,-88.63301911,-11.67394403,-9.165836303
92,139817.4799,0.273061844,0.895804547,1.085476276,118222.3411,47.2011835,41.59787715,-6.739298553,5.925718157
93,106402.2727,0.101916483,1.00761537,0.942005366,426483.5349,23.59398968,-79.29362682,-8.353994904,-1.742652805
96,125465.7632,0.312336949,0.877572469,0.904303897,444315.7884,40.64329791,-37.35297509,-6.744111577,-20.17010498
99,170288.2491,0.270210882,1.114419672,1.106471171,283627.8051,56.09638418,69.42541269,-14.12638761,16.17052806
100,157463.1006,0.229683839,0.938477934,1.037422786,322205.8959,42.972465,61.91296061,-8.10613885,0.146625401
101,91317.74299,0.145297131,1.151849931,0.99319533,223176.2561,20.49328698,-87.53750359,-11.96025567,19.32900522
102,136149.3749,0.191125092,0.840142307,1.195703254,65989.63976,24.43589458,46.90547525,9.278787669,16.10953561
104,85757.16747,0.280406319,0.958743547,1.172924387,98724.76886,54.19054521,-28.09149364,-9.74862599,14.99394295
105,162827.7702,0.21127168,1.14389431,0.804673204,432238.8249,30.9343469,26.35072521,-11.98264486,-12.47578712
106,107852.2383,0.136789267,0.857082202,1.006400739,246213.7448,12.50873784,-43.96941494,13.66209921,-3.280861088
107,141709.9506,0.238222856,1.045358065,0.962981901,168726.7856,35.41028728,29.96370705,-8.950214614,8.47478383
112,131502.0972,0.332757402,0.909524097,0.820482602,274004.3024,26.44683662,-62.39422881,-3.134359377,-20.30082229
116,99510.15517,0.240249293,0.873615578,1.137754094,382600.2432,29.85041,-20.53854649,-2.035488393,3.235235005
117,171902.4074,0.134728214,1.035266187,0.882030663,49254.89772,52.44083671,73.25550573,-16.69743607,-6.731818295
118,126878.1873,0.206019696,0.971960421,1.079070984,234489.95,37.16165576,21.73838623,-7.324999488,10.15879205
119,143557.5486,0.285621935,1.136735939,0.948124585,312033.035,13.50646195,27.03608545,-3.778170938,17.30955258
122,149117.9597,0.158295399,0.93001284,1.118373356,414715.8761,48.99998551,55.67220381,-9.189845241,-1.745502155
123,121513.2575,0.216720382,1.166762627,0.861841117,117387.657,26.15229445,-55.75669598,-10.05186176,4.979401396
124,109363.0227,0.264945771,0.992388127,0.981661451,36108.06251,16.0584802,-32.10581506,2.36344674,20.31520488
125,136879.2121,0.11003531,1.104198858,1.037629309,394832.7454,38.857366,31.68462395,-14.43900988,15.84072959
131,130386.124,0.26532951,1.07719657,1.186516298,360888.7893,51.50610723,35.55455743,-11.01179241,19.34794864
132,143111.0548,0.21810235,0.851546472,1.057090411,455896.5738,35.58750849,41.87860039,-0.981486489,-8.742610126
133,128107.0546,0.15688584,1.039761007,0.913866984,89934.72135,12.08346449,-10.08150621,-1.803963973,14.09526028
134,170771.959,0.19855579,0.953012379,1.122234664,135162.6292,31.40329744,73.04157146,-4.559073369,15.81505679
136,121167.1051,0.284297601,0.846520538,1.146588289,203580.5109,47.59111116,23.67865708,-5.610599863,1.838904522
137,150245.7644,0.207373403,1.056706308,0.877388009,327834.8525,24.63939381,21.75761945,-9.240362521,-2.70465464
138,92725.04609,0.136023625,0.945051554,1.086537801,401901.2242,20.16763127,-53.26295193,-3.153854958,6.719089192
140,165658.2693,0.257264016,0.982425987,0.813888397,110319.6629,56.4099653,46.14691793,-13.96446705,-23.91989209
142,137313.8863,0.159447084,0.884085073,0.953614177,250965.6332,17.55944353,15.16065467,4.529544999,-6.149417966
143,108146.7379,0.332201655,1.019331781,1.021913994,180659.8244,40.37683642,-23.86488846,-9.432563464,9.409859589
144,169071.8956,0.319217626,0.89729642,0.897468343,370723.5535,34.83793009,66.32324675,-5.921309692,-15.30170108
145,104489.1037,0.172453267,1.012171306,1.128463376,44446.66017,57.4694875,4.639814254,-12.46318517,17.47137499
146,147953.5988,0.126624398,0.998961455,0.932534279,230244.7005,39.35557106,34.5138864,-11.4485851,-4.32967341
148,113661.5482,0.236927672,0.936329916,1.167695844,276559.7904,25.70729173,12.34951933,-3.725266435,15.76658078
149,134924.65,0.138056859,1.173140839,0.810968384,152136.6763,49.30113776,-41.99414256,-21.10306973,-12.52151018
150,92445.57472,0.212595796,0.834866928,1.002930199,78409.77283,41.73538694,-79.26160252,0.124380811,-7.998466701
151,157116.8794,0.279052831,1.074802942,0.971425329,465858.2833,19.16728271,55.83473914,-5.392229257,12.30727853
153,106721.7216,0.189687273,1.131200178,0.997447025,390038.6164,36.62810292,-45.03800148,-13.89665558,11.1007705
154,164056.7063,0.143914938,0.867823303,1.188626919,345146.6567,52.89525748,67.50922975,-3.958581977,-7.426767554
157,176194.6371,0.104420823,1.092105648,1.067869749,267925.6559,45.5345639,74.9385927,-15.77208774,17.2444029
160,155660.0444,0.317110361,0.824269774,1.08015618,285701.3694,30.29766707,63.07243784,0.942508221,2.335655928
162,133223.6772,0.103213003,0.922806166,1.140622468,87297.87987,37.54325194,39.12530845,-0.950313668,10.93658042
163,112409.184,0.271794698,1.186081738,0.883849044,442326.7611,14.5457063,-84.82765014,-5.634033837,8.034498647
164,125158.1473,0.224452717,0.960236279,0.960148388,365446.9852,27.50410436,-9.230135843,-5.633376497,-1.626946861
165,146085.5437,0.150532719,1.148450913,1.015874866,64366.64359,50.47823165,47.07773397,-17.15955146,17.66600471
168,153208.4525,0.277891298,0.943296429,0.84866946,170800.294,14.96720595,23.05962029,0.956188325,-6.792097392
171,95696.50127,0.232519101,1.054945803,1.040253334,96735.68578,34.3068384,-46.92277027,-9.996755673,17.216469
173,162795.1865,0.124074328,1.01757663,0.859779188,409958.5698,40.83507395,48.04033335,-15.06380732,-17.8488445
174,105274.0417,0.165744714,0.980665505,1.051020117,339616.6448,48.66087948,-29.66998699,-12.77474756,-0.332221343
175,140163.2898,0.325910172,1.115912312,0.920223351,204429.2219,25.06689805,17.63661181,-6.213749636,9.387828167
176,101112.8846,0.327508271,0.98782522,1.194666713,461398.4288,42.57062376,-2.501848731,-6.694107397,14.77296304
177,172473.6963,0.164167212,1.102700198,0.826174733,70240.03144,19.44547894,62.97636763,-7.608687801,0.511946611
178,129994.9462,0.118396202,0.889292033,1.034603448,140467.3314,24.04943197,22.05367074,7.022578852,1.239523189
179,144568.6483,0.256615157,1.001041923,0.991327949,275598.6319,46.92072876,37.10465181,-13.07700637,-0.87684133
182,160406.1347,0.204424562,0.925200555,0.904828314,47210.00345,32.55400677,56.07312669,-4.298755521,-5.402242697
183,89133.83588,0.287230435,1.165136477,1.073836236,384195.0248,55.72074452,-61.55012073,-16.00765018,13.31666355
184,110014.0344,0.293697333,0.868803298,0.926544028,115821.4878,52.24638599,-59.08667451,-8.090094463,-13.54334724
185,138744.7816,0.197974576,1.033640033,1.094792154,416733.0655,28.60978187,38.85463086,-7.538933631,15.12863355
189,94173.4845,0.112537233,1.194548558,0.96499483,351394.5316,32.01147858,-96.34022417,-15.52909991,15.85799774
190,151508.0486,0.187076626,0.806427959,1.174205656,392787.7953,12.80865596,59.2717012,15.62309251,4.713140184
191,122859.6869,0.304574825,1.096203759,0.80495369,37702.89999,36.51765721,-84.83942232,-8.985794224,-7.522624639
192,138103.6719,0.306378949,0.85820038,1.161424938,127121.1948,56.25043541,46.35330071,-7.26955724,5.045654398
194,166448.5312,0.114455295,0.956539135,1.021853654,447601.6829,17.27873015,72.99795482,-0.977851229,6.126899208
198,123513.0009,0.196054601,0.820569599,0.938763411,325502.3849,20.32081536,-27.22374896,10.04505551,-16.53762236
199,151026.1087,0.295594039,1.082258266,1.082182153,219214.3744,43.22339251,55.11762115,-12.47396919,15.26536895