year,sigma
2017,5.72
2018,8.089301576774103
2019,9.907330619293978
2020,11.44
2021,12.790308831298796
2022,14.011081328719778
2023,15.133697499289458
2024,16.178603153548206
2025,17.16
2026,18.08822821616313
2027,18.971093800832886
2028,19.814661238587956
2029,20.623753295654016
2030,21.402280252346944
2031,22.153464740306426
2032,22.88
2033,23.58416417853302
2034,24.267904730322307
2035,24.932901957052653
2036,25.580617662597593
2037,26.2123329751474
2038,26.829178146190017
2039,27.432156313348752
2040,28.022162657439555
2041,28.599999999999998
2042,29.166391617750726
2043,29.721991857881935
2044,30.267394998578915
2045,30.80314269680936
2046,31.3297302892955
2047,31.847612155387722
2048,32.35720630709641
2049,32.85889833819752
2050,33.35304483851512
2051,33.8399763593298
2052,34.32
2053,34.793401673305816
2054,35.26044809698254
2055,35.72138855083884
2056,36.17645643232626
2057,36.62587063811589
2058,37.06983679489296
2059,37.50854835900744
2060,37.94218760166577
2061,38.37092649389639
2062,38.79492750347653
2063,39.21434431429397
2064,39.62932247717591
2065,40.04
2066,40.44650788387052
2067,40.8489706112651
2068,41.24750659130803
2069,41.64222856668456
2070,42.033243986159334
2071,42.42065534618719
2072,42.80456050469389
2073,43.18505296974869
2074,43.562222165541556
2075,43.936153677808434
2076,44.30692948061285
2077,44.67462814618606
2078,45.03932503934756
2079,45.401092497868376
2080,45.76
2081,46.1161143202677
2082,46.46949967451769
2083,46.820217855110414
2084,47.16832835706604
2085,47.513888495891386
2086,47.85695351774912
2087,48.197576702568774
2088,48.535809460644614
2089,48.87170142321627
2090,49.20530052748382
2091,49.53665309646989
2092,49.86580391410531
2093,50.19279629588294
2094,50.51767215539529
2095,50.84047206704516
2096,51.161235325195186
2097,51.48
2098,51.79680299014603
2099,52.11168007270539
2100,52.4246659502948
2101,52.73579429571531
2102,53.045097794235424
2103,53.352608183668025
2104,53.658356292380034
2105,53.96237207536377
2106,54.264684648489386
2107,54.56532232104929
2108,54.864312626697505
2109,55.1616823528797
2110,55.457457568842806
2111,55.751663652307265
2112,56.04432531487911
2113,56.335466626273714
2114,56.625111037418726
2115,56.91328140249866
2116,57.199999999999996
2117,57.48528855281149
2118,57.76916824743108
2119,58.05165975232749
2120,58.33278323550145
2121,58.6125583812889
2122,58.89100440644564
2123,59.168140075550795
2124,59.44398371576387
2125,59.71855323096835
2126,59.99186611533266
2127,60.26393946631766
2128,60.53478999715783
2129,60.8044340488422
2130,61.0728876016191
2131,61.34016628604783
2132,61.60628539361872
2133,61.87125988696206
2134,62.13510440966523
2135,62.39783329571628
2136,62.659460578591
2137,62.919999999999995
2138,63.179465018311134
2139,63.43786881666187
2140,63.695224310775444
2141,63.95154415649399
2142,64.20684075704084
2143,64.46112627002417
2144,64.71441261419282
2145,64.96671147595512
2146,65.21803431567069
2147,65.4683923737249
2148,65.71779667639504
2149,65.96625804151695
2150,66.21378708396009
2151,66.46039422091927
2152,66.70608967703023
2153,66.95088348931625
2154,67.19478551197257
2155,67.43780542099512
2156,67.6799527186596
2157,67.92123673785689
2158,68.16166664629027
2159,68.40125145054
2160,68.64
2161,68.87792099069193
2162,69.11502296896096
2163,69.35131433505784
2164,69.58680334661163
2165,69.82149812199677
2166,70.05540664359889
2167,70.28853676098258
2168,70.52089619396509
2169,70.75249253559905
2170,70.9833332550677
2171,71.21342570049555
2172,71.44277710167768
2173,71.67139457273034
2174,71.89928511466577
2175,72.12645561789377
2176,72.35291286465252
2177,72.57866353137125
2178,72.80371419096693
2179,73.02807131507718
2180,73.25174127623178
2181,73.47473034996453
2182,73.69704471686772
2183,73.91869046459088
2184,74.13967358978591
2185,74.36
2186,74.5796755155183
2187,74.79870587115796
2188,75.01709671801488
2189,75.23485362516497
2190,75.45198208132109
2191,75.66848749644728
2192,75.88437520333154
2193,76.0996504591184
2194,76.31431844680263
2195,76.5283842766852
2196,76.74185298779278
2197,76.95472954926161
2198,77.16701886168727
2199,77.37872575844086
2200,77.58985500695306
2201,77.80041130996673
2202,78.01039930675908
2203,78.2198235743344
2204,78.42868862858793
2205,78.63699892544221
2206,78.84475886195607
2207,79.05197277740764
2208,79.25864495435182
2209,79.46477961965287
2210,79.67038094549316
2211,79.87545305035833
2212,80.08
2213,80.2840258083761
2214,80.48753443857005
2215,80.69052980368886
2216,80.89301576774103
2217,81.09499614649475
2218,81.29647470831684
2219,81.49745517499304
2220,81.6979412225302
2221,81.89793648194073
2222,82.09744454000989
2223,82.29646894004627
2224,82.49501318261606
2225,82.6930807262615
2226,82.89067498820359
2227,83.08779934503019
2228,83.28445713336912
2229,83.48065165054714
2230,83.67638615523498
2231,83.87166386807883
2232,84.06648797231867
2233,84.26086161439366
2234,84.45478790453505
2235,84.6482699173468
2236,84.84131069237438
2237,85.03391323466185
2238,85.22608051529765
2239,85.41781547194941
2240,85.60912100938778
2241,85.8
2242,85.99045528429303
2243,86.18048967138675
2244,86.37010593949738
2245,86.5593068364113
2246,86.74809507994974
2247,86.9364733584242
2248,87.12444433108311
2249,87.31201062854983
2250,87.49917485325219
2251,87.68593957984369
2252,87.87230735561687
2253,88.05828070090853
2254,88.24386210949744
2255,88.42905404899454
2256,88.6138589612257
2257,88.79827926260734
2258,88.98231734451514
2259,89.1659755736458
2260,89.34925629237212
2261,89.53216181909158
2262,89.71469444856845
2263,89.89685645226979
2264,90.07865007869512
2265,90.26007755370033
2266,90.44114108081564
2267,90.6218428415578
2268,90.80218499573675
2269,90.98216968175687
2270,91.16179901691278
2271,91.34107509767989
2272,91.52
2273,91.6985757795616
2274,91.87680447207553
2275,92.05468809354578
2276,92.2322286405354
2277,92.40942809042808
2278,92.58628840168505
2279,92.7628115140976
2280,92.93899934903538
2281,93.11485380969032
2282,93.29037678131651
2283,93.46557013146605
2284,93.64043571022083
2285,93.81497535042047
2286,93.98919086788649
2287,94.16308406164276
2288,94.33665671413208
2289,94.5099105914295
2290,94.68284744345196
2291,94.85546900416443
2292,95.02777699178277
2293,95.19977310897332
2294,95.37145904304913
2295,95.54283646616318
2296,95.71390703549824
2297,95.884672393454
2298,96.05513416783091
2299,96.22529397201133
2300,96.39515340513755
